color_names	hex_codes 
gradient_0	#D9D9D9
gradient_1	#C4C4C4
gradient_2	#AFAFAF
gradient_3	#9A9A9A
gradient_4	#858585
gradient_5	#707070
gradient_6	#5B5B5B
gradient_7	#464646
gradient_8	#303030
gradient_9	#1A1A1A
na_color	#7F7F7F
